Exercise,Equipment,Exercise Type,Major Muscle,Minor Muscle,Example,Notes,Modifications
Heart Pump,"Kettlebells,Dumbbells",Weight,Arms,"Bicep,Chest",eac68ec3-15dc-4a6a-806f-aa7572f394b0.gif (https://dl.airtable.com/rTMlSufGTWmbykC4De4Y_eac68ec3-15dc-4a6a-806f-aa7572f394b0.gif),,
High Knees,Body Weight,Cardio,Full Body,,highkneerun-1457044203.gif (https://dl.airtable.com/J9KgeDiSS6CcpoXXCu6v_highkneerun-1457044203.gif),"My coach always says, your high knees tells a lot about your dedication. Do yours like the guy in the gif. Get your knees up or don't bother!","Easier: Running on the spot
Harder: Speed"
Hip Thrust,Bar,Weight,Legs,Glutes,"barbell_hip_thrust_progression-1.gif (https://dl.airtable.com/uxEIjvpCRrK73xrKwDZP_barbell_hip_thrust_progression-1.gif),squats_unconventional_booty_builders_diet_break_mini_series_ep2-2.gif (https://dl.airtable.com/Solxoee2QTW0BLjfWHrT_squats_unconventional_booty_builders_diet_break_mini_series_ep2-2.gif)",Bar + 35LB,
Incline Leg Press,Machine,Weight,Legs,"Quads,Glutes",tenor-2.gif (https://dl.airtable.com/Q8LJ1lfRTe828dSaKqaq_tenor-2.gif),,
Jacknife,Bosu Ball,Weight,Core,,Jacknife.gif (https://dl.airtable.com/rxwquqYqSvyYWckjCCI6_Jacknife.gif),,
Jump Lunges,Body Weight,"Plyo,Cardio",Legs,"Glutes,Quads",6405bfbb-585f-45e8-8834-0c5145f546f6.gif (https://dl.airtable.com/Ba9XRSpLRIK2a7mnAcxp_6405bfbb-585f-45e8-8834-0c5145f546f6.gif),,"Easier: Split Jump, so don't go all the way down into a lunge. Or alternate between regular lunges and lunge jumps"
Jump Rope,Body Weight,Cardio,Full Body,,Sprint-2.gif (https://dl.airtable.com/vMYowb6TRJ6PeXp23MvX_Sprint-2.gif),,Harder: Single Leg
Jumping Jack Push Press,Medicine Ball,Plyo,Full Body,,workoutanniversarygif05570.gif (https://dl.airtable.com/oZVQcwVARtqxWSC7tyFu_workoutanniversarygif05570.gif),,"Easier: Remove the weights, step out instead of jump"
Jumping Jacks,Body Weight,Cardio,Full Body,,jumping-jacks-gif-11.gif (https://dl.airtable.com/4EdvWh9Tre1EKZ9BH9LA_jumping-jacks-gif-11.gif),"Go faster than the gif lady. I chose her because she has good form, your hand should always touch at the top",Easier: Step out instead of jump
Kettlebell Swing,"Kettlebells,Dumbbells","Cardio,Weight",Full Body,,778789f4361994739ce59b8e597d00e7.gif (https://dl.airtable.com/sc9eLj4NTPSdXpxAlVxv_778789f4361994739ce59b8e597d00e7.gif),"When I do these I usually keep my hand close to my body and let my hips ""push"" the movement. If you'd like to experiment, you can use a dumbbell instead
",
Knee Drive,Body Weight,Plyo,Full Body,,skipsgifsmall.gif (https://dl.airtable.com/zk1x1ZczQLaNOaduvTiF_skipsgifsmall.gif),,"Harder: Single-leg jump in the air after the knee drive, hold weights"
L-Sit,Machine,Weight,"Core,Arms",Shoulders,68ddb0d2-add5-4124-ac47-7687817d377a.jpg (https://dl.airtable.com/g4PyzXffRNqwPdXd4R0j_68ddb0d2-add5-4124-ac47-7687817d377a.jpg),,
Lat Pulldown,Machine,Weight,Back,Lats,Traditional-Lat-Pulldown-Machine.gif (https://dl.airtable.com/74qcd40vRSISRQxVJ9AA_Traditional-Lat-Pulldown-Machine.gif),,
Lateral Band Walk,Band,"Cardio,Laps",Legs,Outer Thigh,_CrabWalkSelf2_1_2.gif (https://dl.airtable.com/CF41gTm6RqG9eXo4ZZn1__CrabWalkSelf2_1_2.gif),,
Leg Pull Apart,Band,Weight,"Legs,Back",Outer Thigh,f240c036-c8d8-4d59-8a2b-941a438ea462.gif (https://dl.airtable.com/5BX9RPuRQsanTolgDYcg_f240c036-c8d8-4d59-8a2b-941a438ea462.gif),,
Leg Raise,Body Weight,Weight,Core,,legraise.jpg (https://dl.airtable.com/dXQ5blUQzqkbvODop0DP_legraise.jpg),Hold onto something heavy,
Literally Just Jumping,Body Weight,Plyo,Full Body,"Calves,Glutes",tenor.gif (https://dl.airtable.com/vlcOBT7rRZKO6CPNG3bP_tenor.gif),"No good gifs for this, keep core tight, minimize time on the ground and jump up and down.",
Lying Leg Raises,Body Weight,Weight,Core,,lying.gif (https://dl.airtable.com/poLyFerTtuakObeRkXam_lying.gif),,
Military Plank,Body Weight,Plyo,"Full Body,Arms",Shoulders,Military-Plank-Vicky.gif (https://dl.airtable.com/jKY8uPBNQCmUoiT9oehg_Military-Plank-Vicky.gif),,Easier: Do this from your knees
Monkey Jump,Body Weight,"Plyo,Cardio",Full Body,,d6367f97-0584-4895-b292-d7aeae1b3ad6.gif (https://dl.airtable.com/niCgrY1wSI2BNzhk9Yuc_d6367f97-0584-4895-b292-d7aeae1b3ad6.gif),,"Harder: Do a ""literally just jumping"" between your monkey jumps"
Mountain Climbers,"Body Weight,Bosu Ball",Cardio,"Core,Full Body",,"mountain-climbers-gif-3.gif (https://dl.airtable.com/irHgy8wcTOaOoGUxhSxa_mountain-climbers-gif-3.gif),BOSU_Mountain_Climbers.gif (https://dl.airtable.com/7XTSRHViSDKTEcW1WqLg_BOSU_Mountain_Climbers.gif)",,"Easier: Step in, instead of running your knees"
One-Arm Press,Landmine,Weight,Arms,Shoulders,hammer-jammer.jpg (https://dl.airtable.com/T9fJeSGpT02IaFMck3iL_hammer-jammer.jpg),,
Pike to Superman,Bosu Ball,Weight,Core,,30-best-ab-workouts-pike-to-superman.jpg (https://dl.airtable.com/RqwAmFt5SaPkV2RGNC78_30-best-ab-workouts-pike-to-superman.jpg),,
Plank,Body Weight,Weight,"Full Body,Core",Chest,plank.jpg (https://dl.airtable.com/oAufzPV5TLaAWqvawz9T_plank.jpg),,Easier: Go from your knees
Plank Jack,"Band,Body Weight",Cardio,"Full Body,Core",,3705bd36-6b31-42df-9dd1-8d4984b797dc.gif (https://dl.airtable.com/gQzMkwbOSdab50QPoMEB_3705bd36-6b31-42df-9dd1-8d4984b797dc.gif),,"Easier: Step out, instead of jumping your knees"
Plank Row,Dumbbells,Weight,"Full Body,Back",,3d9683d8b8f09bb0863726633ae69910.gif (https://dl.airtable.com/grctQ485ReSm2OEthRIc_3d9683d8b8f09bb0863726633ae69910.gif),,
Power Clean,Bar,Weight,Full Body,,659aab99-a93e-45ed-8927-cff5d55e40c2.gif (https://dl.airtable.com/1XVoJJ1DTLiGDXYYYioW_659aab99-a93e-45ed-8927-cff5d55e40c2.gif),,
Pushup,Body Weight,Weight,Arms,Chest,GlossySkinnyDuckbillcat-max-1mb.gif (https://dl.airtable.com/yyFWkXdGT2i7TMjYZGpL_GlossySkinnyDuckbillcat-max-1mb.gif),"Can be done from knees, or legs. Arms parallel to your body like the dude in the gif.","Easier: Go from your knees, or standing against the wall"
Pushup Walk,Band,Weight,Arms,Chest,094028d3-bc38-481b-85c1-5c8dad17f12b.gif (https://dl.airtable.com/qK68xf5EQhiJvcxDH3Pd_094028d3-bc38-481b-85c1-5c8dad17f12b.gif),,
Reverse Crunches,Body Weight,Weight,Core,,reverse.gif (https://dl.airtable.com/VaOguQgQI6w8qryauNZQ_reverse.gif),,
Row,"Bar,Dumbbells,Landmine",Weight,Back,,78eb6279-95b9-4269-a337-c2c0ca3b78d3.gif (https://dl.airtable.com/kVcbXQy9QdGOrjdFdzoO_78eb6279-95b9-4269-a337-c2c0ca3b78d3.gif),Bar + 15LB,
Russian Twist,"Kettlebells,Dumbbells",Weight,Core,,26c0501d-0254-4bc7-9b79-47b004393d4d.gif (https://dl.airtable.com/dYG39TGTPavUaPz63Jsy_26c0501d-0254-4bc7-9b79-47b004393d4d.gif),,
Seal Jacks,Body Weight,Cardio,Full Body,,Seal-Jacks.gif (https://dl.airtable.com/IFXO2u2ZR8OzAHgp52v1_Seal-Jacks.gif),Clap your hands and dance around while you do these. Makes life more fun.,
Seated Rope Pull,Machine,Weight,"Core,Back",,v-ropeflex.gif (https://dl.airtable.com/DtEGIKBaRmK5pvUoC217_v-ropeflex.gif),,
Shoulder Press,"Bar,Dumbbells",Weight,Arms,Shoulders,03478637-60f5-49f1-95b3-593fead73610.gif (https://dl.airtable.com/lk4lhOS9RdqnKm5Pj7aw_03478637-60f5-49f1-95b3-593fead73610.gif),Bar + 5LB,
Side Arm / Lateral Raise,Dumbbells,Weight,Arms,Lats,12abf096-2edb-4062-8468-17e2951c14fe.gif (https://dl.airtable.com/NUbYbi5uRb6GeH0ZlcXi_12abf096-2edb-4062-8468-17e2951c14fe.gif),,
Side Lunge,"Body Weight,Dumbbells",Weight,Legs,Outer Thigh,lungeside.gif (https://dl.airtable.com/OL3jchvCRQSLsnYmhI55_lungeside.gif),,Easier: no weights
Side Plank,Body Weight,Weight,"Full Body,Core",Oblique,_main2_sideplank.jpg (https://dl.airtable.com/keRG2g3RECoT3LxhDGtQ__main2_sideplank.jpg),,Easier: do the movement from your knees
Side Plank Dips,Body Weight,Weight,Core,Oblique,Side-Plank-Hip-Dips.gif (https://dl.airtable.com/wkTRLvHTt2o4UX8RLo61_Side-Plank-Hip-Dips.gif),,Easier: do the movement from your knees
Side Plank with Leg Lift,"Band,Body Weight",Weight,Core,Oblique,75dcba8e-f0af-48c0-a6e8-c477b738911e.gif (https://dl.airtable.com/llvinxQRxCzG0K0YihOQ_75dcba8e-f0af-48c0-a6e8-c477b738911e.gif),,Easier: do the movement from your knees
Single Arm Clean and Press ,"Kettlebells,Dumbbells",Weight,"Full Body,Arms",Shoulders,KettleBellCleanPress.gif (https://dl.airtable.com/M3Q7JQh4SEC22nZq5ru0_KettleBellCleanPress.gif),Currently using 25LB,
Single Leg Hip Bridge,"Body Weight,Dumbbells,Bosu Ball",Weight,Legs,Hamstrings,Hip-Thrust.gif (https://dl.airtable.com/nNGVnc7SFewVtiVcQb3U_Hip-Thrust.gif),You're wasting your time on this if you're not actually thinking about squeezing your glutes with each movement. You really need to be focused to do this.,Easier: remove the ball and do this movement from the floor.
Single Leg Squat,Body Weight,Weight,Legs,"Glutes,Quads",c7c4a48e-8a32-4f5e-aacf-bf152712e71a.gif (https://dl.airtable.com/PtJIrGJjSkqqfObx7q8c_c7c4a48e-8a32-4f5e-aacf-bf152712e71a.gif),,
Situp and Throw,Medicine Ball,Weight,Core,,30-best-ab-exercises-situp-and-throw.jpg (https://dl.airtable.com/NDsSU55jRXSUAdKHEZA3_30-best-ab-exercises-situp-and-throw.jpg),,
Skaters,Body Weight,Cardio,Legs,Outer Thigh,cca03f06-da6a-4d09-9718-b6e595fb2b96.gif (https://dl.airtable.com/Q5dmhk82TzqmlWq6xqJg_cca03f06-da6a-4d09-9718-b6e595fb2b96.gif),Lady in the gif isn't giving it 100% make sure to touch the ground between reps,"Easier: remove the jump
Harder: Hold Weights"
Skipping,Body Weight,"Cardio,Laps",Full Body,,4ee3d030-05d7-4961-86a6-bcdc727ec8e9.gif (https://dl.airtable.com/k5H1cu0cQF6rfO8LsRaa_4ee3d030-05d7-4961-86a6-bcdc727ec8e9.gif),,
Skull Crusher,"Dumbbells,Bar",Weight,Arms,Tricep,14.gif (https://dl.airtable.com/h9v6LLAERqunzBJAdjeD_14.gif),,
Spiderman Pushup,Body Weight,Weight,"Arms,Core","Chest,Oblique",0dd5e852-dd90-4f1e-a570-c20dca7c72cf.gif (https://dl.airtable.com/OK93O1xWRA2yu3GG8zoF_0dd5e852-dd90-4f1e-a570-c20dca7c72cf.gif),,"Easier: do a pushup from your knees, and then the spiderman movement"
Squat,"Bar,Dumbbells,Body Weight,Squat Rack,Band",Weight,Legs,"Quads,Glutes",barbell-squat.gif (https://dl.airtable.com/r3DIlCSPTsimSjgCPuHS_barbell-squat.gif),Bar + 45LB,Easier: air squat
Squat for Abductors,Machine,Weight,Legs,"Outer Thigh,Inner Thigh",op_booty_8_build_a_booty_workout_supplement_update_surprise_for_mary-1.gif (https://dl.airtable.com/tHjR7RB6QuikY8MB00jG_op_booty_8_build_a_booty_workout_supplement_update_surprise_for_mary-1.gif),"This is not proper use of this equipment, do this at your own risk!",
Squat Jump,Body Weight,"Plyo,Cardio",Legs,Quads,5a1e902f-42e7-4b38-b3c5-af3cb2cbbf0c.gif (https://dl.airtable.com/gpp3YS4jTyijTClCALdq_5a1e902f-42e7-4b38-b3c5-af3cb2cbbf0c.gif),You can do these for height (plyo) or speed (cardio) and to switch them up sometimes do them with your arms clasped at the front so it's a leg-only exercise,"Easier: Just do an air squat, or alternate squat and squat jump"
Squat Jumps 180,Body Weight,Plyo,Full Body,,0145ce919124c8a3_SquatJump180Small.gif (https://dl.airtable.com/U5DO3G2T1apEtdTbx9PH_0145ce919124c8a3_SquatJump180Small.gif),Turn body 180 while doing squat jump,
Squat to Lateral Leg Lift,Band,Weight,Legs,"Quads,Outer Thigh",_SquatLateralLegLiftSelf2_1_3.gif (https://dl.airtable.com/ZuOXOtbTRcuVbC9uQPuY__SquatLateralLegLiftSelf2_1_3.gif),,
Stair Climber,Machine,Cardio,Legs,Glutes,JL-STAIRWAY-2.jpg (https://dl.airtable.com/Nm3wY1S6T26y1Y8gvjMF_JL-STAIRWAY-2.jpg),"Whatever you do, don't slouch or rest your bodyweight on the handlebars while you do this. That's just lazy. Maintain good posture. Hold weight while doing for extra challenge",
Standing Glute Kickbaks,Band,Weight,Legs,Glutes,_StandingGluteKickBackSelf2_1_4.gif (https://dl.airtable.com/uF03I0P8SQW3vLXFUfRN__StandingGluteKickBackSelf2_1_4.gif),,Easier: do this without the band. Use an
Standing Leg Lift,"Cable,Band",Weight,Legs,"Inner Thigh,Outer Thigh,Glutes","standing abduction.jpg (https://dl.airtable.com/5som2SlmRjmkjITXHWtQ_standing%20abduction.jpg),Athletic-woman-doing-side-kick-resistance-band-exercise-1024x954.jpg (https://dl.airtable.com/a1WhvoWCTpB8KuxQc1Up_Athletic-woman-doing-side-kick-resistance-band-exercise-1024x954.jpg)",,
Standing Oblique Crunch,Dumbbells,Weight,Core,Oblique,Standing-Oblique-Crunches.gif (https://dl.airtable.com/38n4dcbTgCM2tjvxWKUb_Standing-Oblique-Crunches.gif),20LB Weight Minimum,
Star Jump,Body Weight,Plyo,Full Body,,workoutanniversarygif06570.gif (https://dl.airtable.com/ISLRenRs2FWV3QFratPw_workoutanniversarygif06570.gif),,
Step Up Lunges,"Platform,Dumbbells",Plyo,Legs,Glutes,dumbbell-step-up.gif (https://dl.airtable.com/QBmW9FpxQn2FN7CQLFH7_dumbbell-step-up.gif),,"Easier: Don't hold weights
Harder: Add a burpee, you can always add a burpee"
Step-Back Lunge,"Bar,Body Weight,Dumbbells,Squat Rack",Weight,Legs,Glutes,bikini_prep_full_glute_training_routine_quest_cake_recipe_training_vlog.gif (https://dl.airtable.com/A2uJ0HlJQWWebQFz0eul_bikini_prep_full_glute_training_routine_quest_cake_recipe_training_vlog.gif),,
Straightup Situp,Dumbbells,Weight,Core,,30-best-ab-exercises-straight-leg-barbell-situp.jpg (https://dl.airtable.com/GPXUq5zcRoGqP9WbvJLa_30-best-ab-exercises-straight-leg-barbell-situp.jpg),,
Sumo Squat,"Bar,Dumbbells,Body Weight",Weight,Legs,"Inner Thigh,Outer Thigh",a7a48b0ff2d2b6b10e086290b1fede92.gif (https://dl.airtable.com/OLsqAqSuS16qsySMCgAw_a7a48b0ff2d2b6b10e086290b1fede92.gif),Bar + 35LB. You want your legs to be just wide enough that your knees still track over your toes,
Superman,Body Weight,Weight,Back,,13a573f1_Superman.jpg (https://dl.airtable.com/I7Gp5cmZTKejJcfh2oNA_13a573f1_Superman.jpg),,"Easier: alternate lifting. Lift your arms from the ground first, then your legs from the ground."
Thruster,Landmine,Weight,Full Body,,show_img_Landmine-thrusters-full-body-compound-exercise.jpg (https://dl.airtable.com/7BXbzivxTpS4Uuz7Zbnx_show_img_Landmine-thrusters-full-body-compound-exercise.jpg),,
Touchdown,Body Weight,Plyo,Full Body,,WtFJBce.gif (https://dl.airtable.com/MTMz4OoeRFaccThM3XKx_WtFJBce.gif),,
Tricep Dip,Body Weight,Weight,Arms,Tricep,Tricep-Dip-on-Bench-g.gif (https://dl.airtable.com/gZTLGaYoTI6P0WwdO2u4_Tricep-Dip-on-Bench-g.gif),Find a chair or platform you can lean on.,"Easier: Legs bent closer to body
Harder: Legs straight farther from body"
Tricep Kick-Back,Dumbbells,Weight,Arms,Tricep,Triceps-Kickback.jpg (https://dl.airtable.com/tjY0kN2QTBSIoZZCv10k_Triceps-Kickback.jpg),,
Tricep Overhead Press,Dumbbells,Weight,Arms,Tricep,5.gif (https://dl.airtable.com/Pp7ftUMQe6qzCxJg7iXs_5.gif),,
Tricep Pull Down,Cable,Weight,Arms,Tricep,how-to-do-teh-cable-pull-down.gif (https://dl.airtable.com/xyyxFbBRlyLaknw11OCz_how-to-do-teh-cable-pull-down.gif),Keep your knees slightly bent as you do this,
TRX Mountain Climber,TRX,Weight,Core,,TRX-mountain-climbers.gif (https://dl.airtable.com/JOfDEnjtTPuDxlUodlWI_TRX-mountain-climbers.gif),,
TRX Plank,TRX,Weight,Core,,72813ed1a4b64cbc2d206a512f0b93c2.jpeg (https://dl.airtable.com/bWQz7ZlCT7mF3UG399Ep_72813ed1a4b64cbc2d206a512f0b93c2.jpeg),,
TRX Row,TRX,Weight,Back,,low-row-43122676__resized.jpg (https://dl.airtable.com/g9xk8vyUTeYddfeZxjJm_low-row-43122676__resized.jpg),,
Tuck Jump,Body Weight,Plyo,Full Body,,Tuck-Jumps.gif (https://dl.airtable.com/Zo0O59geRTataUwhQo2r_Tuck-Jumps.gif),,
Twisted Mountain Climbers,"Body Weight,Bosu Ball",Cardio,"Full Body,Core",Oblique,mountain-climbers-gif-3.gif (https://dl.airtable.com/QqbBRbLRFaMBuFe9VR8g_mountain-climbers-gif-3.gif),,
V-Pass,Bosu Ball,Weight,Core,,bb_stability-ball_v-up1.gif (https://dl.airtable.com/EQe3jRjvQ8icCiuXXsXG_bb_stability-ball_v-up1.gif),,
Wall Ball,Medicine Ball,Cardio,Full Body,,WallBallToss.gif (https://dl.airtable.com/tOqEs71CReQ9XSK15MwN_WallBallToss.gif),"Toss the Medicine Ball in the air, or against a solid wall (concrete or brick) if available.","Easier: use a non-weighted football, basketball etc."
Weighted Jumping Jacks,Dumbbells,Cardio,Full Body,,eec0a59a6eacdc9cfd19a13290516684.jpg (https://dl.airtable.com/Ay4JNlvRqCCbLlKjwHWC_eec0a59a6eacdc9cfd19a13290516684.jpg),,Easier: Step out instead of jumping
Weighted Machine Situp,Machine,Weight,Core,,b16a06f1-f9cd-4721-b760-292fb1a119d8.gif (https://dl.airtable.com/8NjKMbRUTSetijEFXjk4_b16a06f1-f9cd-4721-b760-292fb1a119d8.gif),,
Weighted Punches,Dumbbells,Cardio,Core,,cross-punch-exercise-illustration.gif (https://dl.airtable.com/AZ5zCPLNRJBCx5CwWUwn_cross-punch-exercise-illustration.gif),,Easier: Punch without weights
